200.8758,76.3703
232.3399,82.3719
264.0226,88.4152
295.9261,94.5007
328.0527,100.6287
360.4047,106.7997
392.9846,113.0141
425.7947,119.2725
458.8375,125.5752
492.1155,131.9229
525.6311,138.3158
191.157,100.6287
223.0287,106.7997
255.1248,113.0141
287.4478,119.2725
320,125.5752
352.7839,131.9229
385.802,138.3158
419.0567,144.7546
452.5507,151.2397
486.2865,157.7716
520.2668,164.3509
181.1625,125.5752
213.4523,131.9229
245.9728,138.3158
278.7264,144.7546
311.7156,151.2397
344.943,157.7716
378.4112,164.3509
412.1227,170.978
446.0804,177.6535
480.2868,184.3779
514.7448,191.1517
170.8804,151.2397
203.5994,157.7716
236.5555,164.3509
269.7512,170.978
303.1893,177.6535
336.8723,184.3779
370.803,191.1517
404.9841,197.9755
439.4184,204.8499
474.1087,211.7754
509.0579,218.7526
160.2982,177.6535
193.4578,184.3779
226.8612,191.1517
260.5111,197.9755
294.4103,204.8499
328.5616,211.7754
362.9677,218.7526
397.6315,225.782
432.556,232.8643
467.744,240
503.1986,247.1898
149.4023,204.8499
183.0145,211.7754
216.8775,218.7526
250.9942,225.782
285.3674,232.8643
320,240
354.895,247.1898
390.0553,254.4343
425.4841,261.734
461.1843,269.0897
497.1591,276.502
138.1788,232.8643
172.256,240
206.5913,247.1898
241.1878,254.4343
276.0483,261.734
311.176,269.0897
346.5739,276.502
382.2451,283.9715
418.1929,291.499
454.4204,299.085
490.9309,306.7303
126.6126,261.734
161.1677,269.0897
195.9886,276.502
231.0784,283.9715
266.4403,291.499
302.0773,299.085
337.9927,306.7303
374.1899,314.4355
410.672,322.2014
447.4425,330.0287
484.5049,337.9181
114.6877,291.499
149.7342,299.085
185.0546,306.7303
220.6519,314.4355
256.5296,322.2014
292.6909,330.0287
329.1392,337.9181
365.8779,345.8704
402.9105,353.8863
440.2405,361.9666
477.8716,370.112
102.3872,322.2014
137.9392,330.0287
173.7734,337.9181
209.8931,345.8704
246.3018,353.8863
283.0029,361.9666
320,370.112
357.2967,378.3234
394.8965,386.6016
432.8034,394.9473
471.0209,403.3615
89.6931,353.8863
125.7653,361.9666
162.1284,370.112
198.7859,378.3234
235.7414,386.6016
272.9986,394.9473
310.5612,403.3615
348.4329,411.8449
386.6177,420.3984
425.1193,429.0229
463.9418,437.7193
