100,100,0
100,120,0
100,140,0
100,160,0
100,180,0
100,200,0
100,220,0
100,240,0
100,260,0
100,280,0
100,300,0
120,100,0
120,120,0
120,140,0
120,160,0
120,180,0
120,200,0
120,220,0
120,240,0
120,260,0
120,280,0
120,300,0
140,100,0
140,120,0
140,140,0
140,160,0
140,180,0
140,200,0
140,220,0
140,240,0
140,260,0
140,280,0
140,300,0
160,100,0
160,120,0
160,140,0
160,160,0
160,180,0
160,200,0
160,220,0
160,240,0
160,260,0
160,280,0
160,300,0
180,100,0
180,120,0
180,140,0
180,160,0
180,180,0
180,200,0
180,220,0
180,240,0
180,260,0
180,280,0
180,300,0
200,100,0
200,120,0
200,140,0
200,160,0
200,180,0
200,200,0
200,220,0
200,240,0
200,260,0
200,280,0
200,300,0
220,100,0
220,120,0
220,140,0
220,160,0
220,180,0
220,200,0
220,220,0
220,240,0
220,260,0
220,280,0
220,300,0
240,100,0
240,120,0
240,140,0
240,160,0
240,180,0
240,200,0
240,220,0
240,240,0
240,260,0
240,280,0
240,300,0
260,100,0
260,120,0
260,140,0
260,160,0
260,180,0
260,200,0
260,220,0
260,240,0
260,260,0
260,280,0
260,300,0
280,100,0
280,120,0
280,140,0
280,160,0
280,180,0
280,200,0
280,220,0
280,240,0
280,260,0
280,280,0
280,300,0
300,100,0
300,120,0
300,140,0
300,160,0
300,180,0
300,200,0
300,220,0
300,240,0
300,260,0
300,280,0
300,300,0
